year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1947,Tucker Torpedo 150 HP @ 1500,6,127,127,9652.7775,6,215.9,1.7,52.3875,12.7,49.2125,12.7,240,240,110,0,50s/tucker_589_b6.mr
1948,Tucker Torpedo (Franklin O-335) 166 HP @ 3200,6,114.3,88.9,5473.1248,7,150,1.6873,57.15,12.7,44.45,12.7,270,270,110,0,50s/tucker_334_b6.mr
1950,Buick Super Series 40-50 124 @ 3600,8,80.9625,104.775,4315.244,6.6,193.675,1.8485,38.8937,8.8392,34.1313,8.6868,261,257,112,-5.5,50s/buick_263_i8.mr
1950,Porsche 356 1300 (Type 506) 44 @ 4200,4,80,64,1286.7964,6.5,136,2.125,38,8.5,34.5,8.2,220,220,107.5,0,50s/porsche_506_79_b4.mr
1951,GAZ-51 1951 70 HP @ 2800 ПАЗ-651 КАвЗ-651А,6,82,110,3485.4714,6.2,202,1.8364,41,9.2,37.5,9.2,240,240,109,-2,50s/gaz_51_213_i6.mr
1951,Lancia 44 @ 4800,4,68,75,1089.5043,7.8,160,2.1333,30,5,27.5,5,247,247,108.5,0,50s/lancia_appia_67_v4.mr
1951,Lancia Aurelia B21 75 @ 4500,6,72,81.5,1990.9655,7.8,160,1.9632,34,7.5,31,7.5,263,263,112,-3.5,50s/lancia_aurelia_122_v6.mr
1951,Packard 288 135 HP @ 3600,8,88.9,95.25,4729.861,7,201.6125,2.1167,42.4656,8.6868,36.5125,8.6868,240,239,107.75,2.75,50s/packard_288_i8.mr
1951,Packard 327 150 HP @ 3600,8,88.9,107.95,5360.5091,7,195.2625,1.8088,42.4656,8.6868,36.5125,8.6868,238,237,109.25,5.25,50s/packard_327_i8.mr
1951,Studebaker 232 V8 120 @ 4000,8,85.725,82.55,3811.6405,7,168.275,2.0385,35.7188,9.1281,32.5437,9.1281,245.5,245.5,110.25,-1.5,50s/studebaker_233_v8.mr
1952,Hudson Hornet 308 160 @ 3800,6,96.8375,114.3,5050.9666,7.5,206.375,1.8056,46.5074,8.7884,39.5224,8.7884,293.8,282.3,112.97,-0.22,50s/hudson_308_i6.mr
1952,Porsche 356 1500 (Type 546) 55 @ 4400,4,80,74,1487.8583,7,136,1.8378,38,8.5,34.5,8.2,220,220,107.5,0,50s/porsche_546_91_b4.mr
1954,Ford Y-Block 239 V8 130 @ 4200,8,88.9,78.74,3910.0184,7.2,160.63,2.04,41.834,8.763,38.354,8.763,232,232,109.5,1.5,50s/ford_239_v8.mr
1954,Ford Y-Block 256 V8 161 @ 4400,8,92.075,78.74,4194.2927,7.5,160.63,2.04,45.212,9.144,38.354,9.144,246,246,113,2,50s/ford_256_v8.mr
1954,Packard 359 212 HP @ 4000,8,90.4875,114.3,5880.3514,8.7,195.2625,1.7083,45.6406,8.6868,36.5125,8.6868,238,237,109.25,0.25,50s/packard_359_i8.mr
1954,Porsche 356 1300A (Type 506/1) 44 @ 4200,4,74.5,74,1290.3102,6.5,136,1.8378,38,8.5,34.5,8.2,220,220,107.5,0,50s/porsche_506_1_79_b4.mr
1955,Ford Y-Block 272 V8 162 @ 4400,8,92.075,83.82,4464.8922,7.6,160.63,1.9164,45.212,9.144,38.354,8.1026,246,246,113,2,50s/ford_272_v8.mr
1955,Ford Y-Block 292 V8 193 @ 4400,8,95.25,83.82,4778.1249,8.1,160.63,1.9164,45.212,9.144,38.354,8.1026,246,246,113,2,50s/ford_292_v8.mr
1955,Packard 320 V8 225 HP @ 4600,8,96.8375,88.9,5238.0395,8.5,172.2437,1.9375,49.2,9.4996,42.85,9.4996,250,250,109,-2,50s/packard_320_v8.mr
1955,Packard 352 V8 275 HP @ 4600,8,101.6,88.9,5765.9257,9.5,172.2437,1.9375,50.8,10.1092,42.85,9.8552,256,252,111,-3,50s/packard_352_v8.mr
1955,Packard 374 V8 290 HP @ 4600,8,104.775,88.9,6131.9269,10,172.2437,1.9375,50.8,10.1092,42.85,9.8552,256,252,111,-3,50s/packard_374_v8.mr
1955,Studebaker 224 V8,8,90.4875,71.4375,3675.2196,7,168.275,2.3556,42.0688,9.1281,38.8937,9.1281,245.5,245.5,110.25,-1.5,50s/studebaker_224_v8.mr
