year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1960,МеМЗ-965 23 @ 4000,4,66,54.5,745.8204,6.5,115,2.1101,26.5,7,25,7,236,236,108,0,60s/memz_965_46_v4.mr
1964,Jaguar XK 4.2 210 @ 5400,6,92.075,106,4234.7761,7.8,196.85,1.8571,44.45,9.7,41.275,9.7,256,256,111,0,60s/jaguar_xk_258_i6.mr
1964,Porsche 901/01 130 @ 6200,6,80,66,1990.5131,9,130,1.9697,39,11.15,35,10.31,248,238,97.5,2.5,60s/porsche_901_121_b6.mr
1965,Chrysler 440 V8 375 HP @ 4400,8,109.728,95.25,7205.7598,10,171.704,1.8027,52.832,10.795,44.196,11.049,260,268,113,0,60s/chrysler_440_v8.mr
1966,Ford MEL 462 V8 340 @ 4600,8,111.252,97.282,7565.3324,10.25,167.64,1.7232,51.5874,11.176,42.0688,11.176,222,258,103,5,60s/ford_462_v8.mr
1966,Jaguar XJ25 314 @ 6200,12,90,70,5343.8491,9,151.3,2.1614,41.3,9.525,34.6,9.525,220,222,110,0,60s/jaguar_xj25_326_v12.mr
1968,Cadillac 472 V8 375 HP @ 4400,8,109.22,103.124,7729.3676,10.5,171.45,1.6626,50.8,11.176,41.275,11.5316,198,202,115.5,-4,60s/cadillac_472_v8.mr
1968,Ferrari 365 GTC/4 Colombo Type 251 (F101) 352 @ 7500,12,81,71,4390.3537,8.8,137,1.9296,42,9.4,37.4,8.59,271,264,92.25,1.75,60s/ferrari_f101_268_v12.mr
1968,Ford 460 V8 360 HP @ 4200,8,110.744,97.79,7535.546,9,167.767,1.7156,52.8955,11.0998,41.9989,12.2174,256,270,113.5,-6.5,60s/ford_460_v8.mr
1968,Oldsmobile Rocket 455 370 @ 5200,8,104.775,107.95,7445.9112,10.5,171.069,1.5847,52.3875,12.065,41.275,12.065,328,328,110,2,60s/oldsmobile_454_v8.mr
1969,4.5 92 mm × 85 mm,8,92,85,4520.3748,8,154.5,1.8176,44.2,9.5,37.1,9.5,245,251,96.75,0.75,60s/mercedes_m117_276_v8.mr
1970,Buick 455 V8 370 @ 4600,8,109.5375,99.06,7467.992,10,163.5125,1.6506,50.8,11.5316,41.275,11.5316,260,260,110,4,60s/buick_456_v8.mr
