year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1903,Wright 12 @ 1100,4,101.6,101.6,3294.8147,3.5,254,2.5,50.8,9.525,50.8,9.525,180,200,115,0,10s/wright_201_i4.mr
1904,Lanchester 20 HP,4,101.6,76.2,2471.111,4,177.8,2.3333,38.1,9.525,38.1,9.525,202,225,99.75,5.75,10s/lanchester_151_i4.mr
1906,Ford Model K 40 @,6,114.3,107.95,6645.9373,3.5,215.9,2,44.45,11.1125,44.45,11.1125,210,230,120,-5,10s/ford_k_406_i6.mr
1907,Aster Type 4 N ? @ 1400,1,105,120,1039.0818,4.5,258,2.15,50,10,50,10,220,220,110,0,10s/aster_63_i1.mr
1907,Cornilleau-Sainte-Beuve 20/30 ? @ 1300,4,110,130,4941.7252,4,300,2.3077,50,10,50,10,180,242,112.5,2.5,10s/csb_302_i4.mr
1907,Cottin & Desgouttes ? @ 1300,4,100,120,3769.9112,4,249,2.075,47,11,47,11,195,234,110.75,-1.75,10s/cottin_230_i4.mr
1907,Farcot 14 ? @ 1500,4,80,100,2010.6193,4,200,2,35,7,35,7,184,218,102.5,4.5,10s/farcot_123_i4.mr
1907,Luc Court ? @ 1350,4,70,140,2155.1326,4,297.5,2.125,30,6.5,30,6.5,150,240,105,0,10s/luc_court_132_i4.mr
1907,Rossel 40 ? @ 1450,4,120,100,4523.8934,4,236,2.36,50,10,50,10,192,220,105,1,10s/rossel_276_i4.mr
1907,Sultan 9/12 ? @ 1600,4,75,110,1943.8605,4,250,2.2727,30,6,30,6,200,252,117,-5,10s/sultan_119_i4.mr
1907,Unic 20 ? @ 1650,4,75,110,1943.8605,4,247.5,2.25,35,7,35,7,186,243,119.25,-7.75,10s/unic_119_i4.mr
1907,Vinot & Deguingand ? @ 1500,4,80,110,2211.6812,4,250,2.2727,35,7,35,7,180,210,105,0,10s/vinot_135_i4.mr
1908,Charron ? @ 1100,4,110,130,4941.7252,4,295.75,2.275,50,10,50,10,179,224,101.25,10.75,10s/charron_302_i4.mr
1908,Renault AX 8 ? @ 1600,2,75,120,1060.2875,4,260,2.1667,30,6,30,6,182.5,245.5,102,-12.75,10s/renault_65_i2.mr
1909,1911 РБВЗ С 50 @ 1800,4,105,140,4849.0483,4,280,2,50,10,50,10,180,220,110,0,10s/rbvz_296_i4.mr
1909,1912 РБВЗ С24/30 30 @ 1200 CR 3.5,4,105,130,4502.6877,3.5,280,2.1538,50,10,50,10,180,220,110,0,10s/rbvz_275_i4.mr
1909,Christie Racer,4,190.5,177.8,20270.8327,4,774.7,4.3571,76.2,15.875,76.2,15.875,205,230,111.25,-1.25,10s/christie_v4_1237.mr
1910,Cunningham,4,120.65,146.05,6678.9176,4,319.087,2.1848,47.625,7.9375,47.625,9.525,180,225,106.25,1.25,10s/cunningham_408_i4.mr
1910,Wolseley 16-20 HP,4,90.4875,120.65,3103.5188,5.15,250.825,2.0789,25.4,5.5563,30.9562,6.35,188,225,105.25,0.25,10s/wolseley_189_i4.mr
1911,De Dion Bouton 30 @ ?,8,70,130,4002.389,4,265,2.0385,33.5,6,33.5,6,205,225,110,-2.5,10s/de_dion_244_v8.mr
1912,Abbott-Detroit 34-40,4,104.775,133.35,4598.9452,4,266.7,2,57.15,8.7312,57.15,8.7312,212.7,237.3,112.5,-5.35,10s/continental_281_i4.mr
1913,(Continental 4?),4,114.3,139.7,5733.7498,4,279.4,2,57.15,9.525,57.15,9.525,196.9,237.2,110.62,-3.53,10s/continental_350_i4.mr
1913,Buda O/OU 41 @ 1500,4,104.775,139.7,4817.9426,3.827,301.625,2.1591,47.625,7.9375,47.625,9.525,220,240,115,0,10s/buda_o_294_i4.mr
1913,Buda Q/QU 35 @ 1600,4,95.25,139.7,3981.7707,4.007,301.625,2.1591,47.625,7.9375,47.625,9.525,220,240,115,0,10s/buda_q_243_i4.mr
1913,Buda T 47 @ 1800,4,107.95,139.7,5114.3633,4.185,301.625,2.1591,47.625,9.525,47.625,9.525,220,240,115,0,10s/buda_t_312_i4.mr
1913,Chalmers Six,6,101.6,139.7,6795.5553,4.5,311.15,2.2273,53.975,11.1125,53.975,11.1125,201,247,112,-0.5,10s/chalmers_415_i6.mr
1913,Continental 6N,6,88.9,127,4729.861,4.412,260.35,2.05,44.0531,7.1437,44.0531,8.7312,198,222.5,108.88,-0.12,10s/continental_6n_289_i6.mr
1913,Ford T 20 @ 1600,4,95.25,101.6,2895.8332,3.98,177.8,1.75,37.7031,6.35,37.7031,6.35,218.15,217.87,115.3,-6.4,10s/ford_t_177_i4.mr
1913,Julian Six,6,114.3,177.8,10946.2497,4,355.6,2,77.7875,9.525,77.7875,9.525,203,235,112,-4.5,10s/julian_668_i6.mr
1913,Mercer 58 @ 1700,4,114.3,127,5212.4998,4,317.5,2.5,57.15,11.1125,57.15,11.1125,230.6,286.6,110,-2,10s/mercer_318_i4.mr
1913,Pullman 6-66,6,114.3,139.7,8600.6247,4,298.45,2.1364,53.975,7.9375,53.975,7.9375,203,235,112,-4.5,10s/pullman_525_i6.mr
1913,Rutenber 28 53 @ 2100,6,95.25,133.35,5701.1717,4,304.8,2.2857,46.8312,8.7312,46.8312,8.7312,208,242,114,-8,10s/rutenber_348_i6.mr
1914,Buda LS/LSU 58 @ 2100,6,88.9,133.35,4966.354,4.25,285.75,2.1429,38.1,9.525,38.1,9.525,220,240,115,0,10s/buda_ls_303_i6.mr
1914,Buda R 37 @ 2100,4,88.9,130.175,3232.0717,4.266,285.75,2.1951,38.1,9.525,38.1,9.525,220,240,115,0,10s/buda_r_197_i4.mr
1914,Buda SS/SSU,6,95.25,139.7,5972.6561,4.25,311.15,2.2273,42.8625,9.525,42.8625,9.525,220,240,115,0,10s/buda_ss_364_i6.mr
1914,"Buick C-54, 55 48 @",6,95.25,127,5429.6873,4,254,2,38.1,7.1437,38.1,7.1437,202.3,248.3,113.97,-1.28,10s/buick_331_i6.mr
1914,Cadillac Eight 70 @ 2400,8,79.375,130.175,5153.1755,4.8,317.5,2.439,39.6875,7.1437,39.6875,7.1437,226.7,226.7,113.34,0,10s/cadillac_314_v8.mr
1914,Continental,6,104.775,133.35,6898.4178,4,279.4,2.0952,50.8,8.7312,50.8,8.7312,198,222.5,108.88,-0.12,10s/continental_421_i6.mr
1914,Continental 6P 57 @ 2000,6,95.25,133.35,5701.1717,4,263.525,1.9762,42.8625,8.7312,42.8625,8.7312,198,222.5,108.88,-0.12,10s/continental_6p_348_i6.mr
1914,Deltal 132 @ 3200,4,101.6,152.4,4942.2221,4.25,368.3,2.4167,69.85,12.7,69.85,12.7,218,256,119.5,0.5,10s/deltal_302_i4.mr
1914,"Golden, Belknap & Swartz B-25",4,88.9,107.95,2680.2545,5,177.8,1.6471,46.0375,5.5563,46.0375,5.5563,210,236,113.5,-1.5,10s/gbs_164_i4.mr
1914,"Golden, Belknap & Swartz D",4,82.55,107.95,2311.0358,5,177.8,1.6471,46.0375,5.5563,46.0375,5.5563,210,236,113.5,-1.5,10s/gbs_142_i4.mr
1914,Jackson Six ; Paterson 6-48,6,88.9,127,4729.861,3.75,263.525,2.075,43.6563,7.9375,43.6563,7.9375,203,235,112,-4.5,10s/northway_289_i6.mr
1914,Marmon Little Six,6,107.95,139.7,7671.5449,4,323.85,2.3182,55.5625,9.525,55.5625,9.525,196,237,111.75,-5.25,10s/marmon_468_i6.mr
1914,Moline-Knight 56.3 @ 1682,4,101.6,152.4,4942.2221,4.753,339.725,2.2292,39.246,9.91,43.878,10.97,210,235,96.25,-28.75,10s/mk_302_i4.mr
1914,"Oldsmobile 42, Jackson 34, Oakland 38, Paterson 4-42",4,88.9,127,3153.2406,3.75,263.525,2.075,43.6563,7.9375,43.6563,7.9375,203,235,112,-4.5,10s/northway_192_i4.mr
1914,Oldsmobile 55 50 @ 1600,6,107.95,133.35,7322.8383,3.75,279.4,2.0952,44.8469,8.7312,44.8469,8.7312,203,235,112,-4.5,10s/northway_447_i6.mr
1914,Premier-Weidely,6,92.075,139.7,5581.1153,4,288.925,2.0682,49.2125,8.7312,49.2125,8.7312,210,230,110,-5,10s/weidely_341_i6.mr
1914,Saxon,4,66.675,101.6,1418.9583,4,203.2,2,30.1625,6.35,30.1625,6.35,213,247,115,-3.5,10s/saxon_87_i4.mr
1915,"Buick C24, C25 27 @",4,95.25,95.25,2714.8437,4,177.8,1.8667,31.75,6.35,31.75,6.35,199.5,249.5,113.75,-2.18,10s/buick_166_i4.mr
