source_file,cylinders,bore_mm,stroke_mm,displacement_l,displacement_cyl_l,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg
30s/plymouth_196_i4_2.mr,4,92.075,120.65,3.2134,0.8033,4.9,217.4875,1.8026,46.8312,7.9375,32.5437,7.9375,220,230,111.5,-4.5
30s/plymouth_201_i6.mr,6,79.375,111.125,3.2993,0.5499,6.7,201.6125,1.8143,37.3062,7.9375,37.3062,7.9375,220,230,111.5,-4.5
30s/pontiac_200_i6.mr,6,84.1375,98.425,3.2834,0.5472,4.9,185.7375,1.8871,35.7188,7.9375,34.1313,7.9375,212,229,110.25,-2.75
30s/pontiac_208_i6.mr,6,85.725,98.425,3.4085,0.5681,6.2,195.2625,1.9839,38.8937,7.5406,37.3062,7.5406,224,230,108.5,1.5
30s/pontiac_223_i6.mr,6,87.3125,101.6,3.65,0.6083,6.2,192.0875,1.8906,40.4813,7.5406,37.3062,7.5406,224,230,108.5,1.5
30s/pontiac_223_i8.mr,8,80.9625,88.9,3.6614,0.4577,5.7,195.2625,2.1964,35.7188,7.5406,34.1313,7.5406,224,230,108.5,1.5
30s/pontiac_232_i8.mr,8,82.55,88.9,3.8064,0.4758,6.2,195.2625,2.1964,35.7188,7.5406,34.1313,7.5406,224,230,108.5,1.5
30s/pontiac_249_i8.mr,8,82.55,95.25,4.0783,0.5098,6.2,192.0875,2.0167,37.3062,7.5406,34.1313,7.5406,224,230,108.5,1.5
30s/porsche_t101_919_v10.mr,10,115,145,15.061,1.5061,5.9,280,1.931,63,12,51,12,245,245,109,-2.5
30s/reo_228_i6.mr,6,85.725,107.95,3.7383,0.6231,7,266.7,2.4706,46.0375,7.9375,46.0375,7.9375,230,230,114,-1
30s/reo_268_i6.mr,6,85.725,127,4.398,0.733,5.3,266.7,2.1,46.0375,7.9375,46.0375,7.9375,230,227,113.25,-1.75
30s/reo_269_i8.mr,8,76.2,120.65,4.4017,0.5502,5.37,247.65,2.0526,38.4969,8.7376,34.925,8.7376,225,235,110,2.5
30s/reo_358_i8.mr,8,85.725,127,5.8641,0.733,5.3,266.7,2.1,46.0375,8.7312,42.8625,8.7312,230,230,114,-1
30s/s60_1127_i4.mr,4,165,216,18.4744,4.6186,3.96,406,1.8796,81,16.7,76,16.7,212,225,109.25,-6.75
30s/studebaker_221_i6.mr,6,85.725,104.775,3.6284,0.6047,4.8,260.35,2.4848,41.275,7.9375,38.1,7.9375,228,228,111.5,-7.5
30s/studebaker_221_i8.mr,8,77.7875,95.25,3.6213,0.4527,5,209.55,2.2,35.7188,7.1437,32.5437,7.1437,228,228,111.5,-2.5
30s/studebaker_248_i6.mr,6,85.725,117.475,4.0682,0.678,4.8,254,2.1622,41.275,7.9375,38.1,7.9375,228,228,111.5,-7.5
30s/studebaker_250_i8.mr,8,77.7875,107.95,4.1041,0.513,5,203.2,1.8824,35.7188,7.1437,32.5437,7.1437,228,228,111.5,-2.5
30s/studebaker_337_i8.mr,8,88.9,111.125,5.5182,0.6898,5.05,234.1562,2.1071,42.0687,8.7312,39.6875,8.7312,220,232,109.5,-5.5
30s/stutz_242_i6.mr,6,85.725,114.3,3.9582,0.6597,5.3,234.95,2.0556,42.0687,8.7312,42.0687,8.7312,236,236,114,-3
30s/stutz_dv32_322_i8.mr,8,85.725,114.3,5.2777,0.6597,5,234.95,2.0556,32.5437,8.7312,32.5437,8.7312,231,231,108,-2.5
30s/stutz_sv16_322_i8.mr,8,85.725,114.3,5.2777,0.6597,5.5,234.95,2.0556,42.0687,8.7312,42.0687,8.7312,236,236,114,-3
30s/stz_385_i4.mr,4,115,152,6.3152,1.5788,4.13,330,2.1711,56,12,56,12,230,240,107.5,2.5
30s/stz_nati_455_i4.mr,4,125,152,7.4613,1.8653,4,330,2.1711,56,12,56,12,210,240,112,-1
30s/t26_403_i4.mr,4,120,146,6.6049,1.6512,4.8,279.4,1.9137,58,13,54.6,13,272.3,275.3,114.1,-4.8
30s/tatra_t80_366_v12.mr,12,75,113,5.9906,0.4992,5.3,230,2.0354,40,8.5,40,8.5,226,226,107,0
30s/universal_220_i4.mr,4,95,127,3.6008,0.9002,4.1,255,2.0079,45,6.92,45,7.72,210,240,112.5,0
30s/viking_259_v8.mr,8,85.725,92.075,4.2514,0.5314,5.1,180.975,1.9655,37.3062,8.636,34.1313,8.5344,232,232,110,-5
30s/waukesha_39_b2.mr,2,76.2,69.85,0.6371,0.3185,5.5,117.475,1.6818,34.925,7.62,29.3687,7.62,260,260,110,0
30s/white_251_i6.mr,6,87.3125,114.3,4.1062,0.6844,6.13,240.5065,2.1042,42.0687,10.0584,41.275,10.0584,225,230,106.25,3.75
30s/white_263_i6.mr,6,92.075,107.95,4.3127,0.7188,6.11,203.2,1.8824,44.45,9.0424,41.275,9.0424,225,225,112.5,-1.88
30s/white_269_i6.mr,6,90.4875,114.3,4.4103,0.735,5.88,240.5065,2.1042,42.0687,10.0584,41.275,10.0584,225,230,106.25,3.75
30s/white_362_i6.mr,6,98.425,130.175,5.9426,0.9904,5.88,240.5065,1.8476,42.0687,9.6774,42.8625,9.6774,240,240,107.5,2.5
30s/white_396_i6.mr,6,101.6,133.35,6.4867,1.0811,5,266.7,2,50.8,9.6774,50.8,9.6774,231,231,113,-2.5
30s/white_434_i6.mr,6,106.3625,133.35,7.109,1.1848,5,266.7,2,50.8,9.6774,50.8,9.6774,231,231,113,-2.5
30s/white_460_i6.mr,6,109.5375,133.35,7.5398,1.2566,5,266.7,2,50.8,9.6774,50.8,9.6774,231,231,113,-2.5
30s/white_464_f12.mr,12,92.075,95.25,7.6106,0.6342,6.25,190.5,2,44.45,9.525,38.8937,9.525,230,223,105.75,0.75
30s/white_505_f12.mr,12,96.0438,95.25,8.2808,0.6901,6.25,190.5,2,44.45,9.525,38.8937,9.525,230,223,105.75,0.75
30s/white_529_i6.mr,6,117.475,133.35,8.6721,1.4454,5,266.7,2,53.975,9.6774,51.5938,9.6774,231,231,113,-2.5
30s/white_682_f12.mr,12,104.775,107.95,11.1689,0.9307,5.88,203.9938,1.8897,46.99,9.6774,44.45,9.6774,230,223,105.75,0.75
30s/white_811_f12.mr,12,114.3,107.95,13.2919,1.1077,5.88,203.9938,1.8897,46.99,9.6774,44.45,9.6774,230,223,105.75,0.75
30s/willys_134_i4.mr,4,79.375,111.125,2.1995,0.5499,6.48,233.3625,2.1,38.8937,9.1186,37.3062,9.1186,239,239,109,-1.5
30s/zis_101_352_i8.mr,8,85,127,5.7653,0.7207,4.8,280,2.2047,45,8.75,40,8.75,254.6,267.6,106.75,-4.25
30s/zis_5_339_i6.mr,6,101.6,114.3,5.56,0.9267,4.7,231.78,2.0278,47.56,9.14,44.58,9.14,229,227,112,-0.5
40s/bantam_50_i4.mr,4,57.404,79.375,0.8217,0.2054,7.4,146.05,1.84,28.575,6.5278,26.1938,6.5278,249,249,109,3.5
40s/bedford_1296_f12.mr,12,127,139.7,21.2361,1.7697,5.5,254,1.8182,63.5,12.7,63.5,12.7,230,223,105.75,0.75
40s/buick_248_i8.mr,8,78.5812,104.775,4.0651,0.5081,6.3,193.675,1.8485,38.8937,8.8392,34.1313,8.6868,261,257,112,-5.5
